subject,session,correct_recs,recs,intr,sem,lag,subj
LTP427,8,56,66,10,0.6277317717493796,0.4998617311367523,0.7102784109971976
LTP427,9,75,80,5,0.6635076325459613,0.5511647798651482,0.7890075788565014
LTP429,5,21,57,36,0.6735582020231539,0.3679506082984604,
LTP429,6,37,76,39,0.6121683479018811,0.6210770494070578,0.8338402401027262
LTP429,7,41,74,33,0.6267875165628795,0.3522461885126955,0.7099263279329221
LTP429,8,42,72,30,0.6909481966242815,0.3756197362054584,0.6747451094002165
LTP429,9,64,101,37,0.6375639979012162,0.51713903774786,0.7029503902314248
LTP430,5,28,68,40,0.8935978328925321,0.3814976063437067,
LTP430,6,84,106,22,0.7546828994246734,0.5356142367274307,0.6809290380650813
LTP430,7,135,166,31,0.8370806795149841,0.5547282626287281,0.8071761928964122
LTP430,8,181,205,24,0.8026769116373373,0.4908187841960199,0.8295569271032848
LTP430,9,191,221,30,0.8579051150984828,0.4717749358037751,0.8969670976429879
LTP431,5,18,22,4,0.8592057191947425,0.535665981976821,
LTP431,6,56,63,7,0.8032887054355616,0.5549410778049837,0.8396616541353383
LTP431,7,99,106,7,0.8387614984954425,0.4843052213467222,0.8524320861937755
LTP431,8,149,157,8,0.8460769081693218,0.5025454919784983,0.805859014100782
LTP431,9,182,192,10,0.788765757541488,0.5533022272424623,0.8357420339815645
LTP433,5,37,98,61,0.8062398081434595,0.6399402010859637,
LTP433,6,45,118,73,0.7996254402181643,0.591554038888498,0.7056097718559704
LTP433,7,47,112,65,0.8645273837578036,0.4525978457901944,0.8693254698543608
LTP435,5,18,28,10,0.6338273904604408,0.3842465051965497,
LTP435,6,32,64,32,0.761211344800159,0.5042683520815525,0.7733886483886483
LTP435,7,31,57,26,0.813977368662307,0.5119744382620566,0.8140493446001148
LTP436,5,27,43,16,0.7820801974538719,0.5265217578563349,
LTP436,6,78,104,26,0.8259172071882304,0.5331009900827208,0.6457781627976862
LTP436,7,141,165,24,0.7936850705988111,0.5159452893359778,0.8364106075757274
LTP436,8,121,152,31,0.8222020576851856,0.5035771900811109,0.8312399076319767
