subject,session,prob
LTP405,5,0.668333859324097
LTP405,6,0.5574044476578507
LTP405,7,0.21216589757641033
LTP405,8,0.5438343513582374
LTP405,9,0.5349601647515703
LTP406,5,0.4559152318718137
LTP406,6,0.39908528275490973
LTP406,7,0.45556390034107075
LTP406,8,0.5816622312512231
LTP406,9,0.5086641444229318
LTP407,5,0.5287807941033582
LTP407,6,0.45332820308372646
LTP407,7,0.49553203939565843
LTP407,8,0.5305835090305445
LTP407,9,0.5334676572236114
LTP408,5,0.5294832235600181
LTP408,6,0.5681393241693787
LTP408,7,0.4852619643080171
LTP408,8,0.5400839154799645
LTP408,9,0.5043766021038787
LTP412,7,0.5087387209107362
LTP412,8,0.6045112645084023
LTP412,9,0.23637275846511982
LTP414,5,0.4272871840726384
LTP414,6,0.46011381477392216
LTP414,7,0.528023364465506
LTP414,8,0.3958436602442345
LTP414,9,0.5270410734914796
LTP415,5,0.5519174484497175
LTP415,6,0.4986948178544461
LTP415,7,0.4759851053242669
LTP415,8,0.5606184493535701
LTP415,9,0.5132409425951313
LTP416,5,0.5111141363350117
LTP416,6,0.48629606345281523
LTP416,7,0.5385038323542786
LTP416,8,0.48238273302063955
LTP416,9,0.5167284592498083
LTP417,5,0.5745262758327806
LTP417,6,0.5293175658274658
LTP417,7,0.5114001258738661
LTP417,8,0.45946331418994235
LTP417,9,0.5177932779248898
LTP418,5,0.25609756097560976
LTP418,6,0.3118587239746889
LTP418,7,0.7139084507042254
LTP418,8,0.3295662525814497
LTP418,9,0.3998133018491729
LTP419,5,0.32024770574667516
LTP419,6,0.3189365953341654
LTP419,7,0.5048149596354167
LTP419,8,0.36485766603187614
LTP419,9,0.10962454296862999
LTP420,7,0.5073211619408117
LTP420,8,0.5601925244835008
LTP420,9,0.5254790786646256
LTP421,5,0.5036391732351159
LTP421,6,0.4035307783892783
LTP421,7,0.5341375640351933
LTP421,8,0.44561800602144924
LTP421,9,0.47516569219007887
LTP422,5,0.45379442444087614
LTP422,6,0.47555973738136503
LTP422,7,0.5296897135183618
LTP422,8,0.5354776249287921
LTP423,5,0.2881318182619567
LTP423,6,0.44362851235591544
LTP423,7,0.4541649195001437
LTP423,8,0.4830488507613992
LTP423,9,0.5297064408791897
LTP424,5,0.41595385879710023
LTP424,6,0.6076515415719979
LTP424,7,0.4479400907758278
LTP424,8,0.572596334305967
LTP424,9,0.48335189027779024
LTP425,5,0.4503055025163946
LTP425,6,0.5110351693162404
LTP425,7,0.45513351304491667
LTP425,8,0.4708183795180659
LTP425,9,0.5236732950483414
LTP427,5,0.5164326298223639
LTP427,6,0.48985328450482435
LTP427,7,0.5374159431936236
LTP427,8,0.49986173113675236
LTP427,9,0.5511647798651482
LTP429,5,0.36795060829846044
LTP429,6,0.6210770494070578
LTP429,7,0.35224618851269557
LTP429,8,0.3756197362054584
LTP429,9,0.51713903774786
LTP430,5,0.3814976063437067
LTP430,6,0.5356142367274307
LTP430,7,0.5547282626287281
LTP430,8,0.4908187841960199
LTP430,9,0.4717749358037751
LTP431,5,0.535665981976821
LTP431,6,0.5549410778049837
LTP431,7,0.4843052213467222
LTP431,8,0.5025454919784983
LTP431,9,0.5533022272424623
LTP433,5,0.6399402010859637
LTP433,6,0.591554038888498
LTP433,7,0.4525978457901944
LTP435,5,0.38424650519654974
LTP435,6,0.5042683520815525
LTP435,7,0.5119744382620566
LTP436,5,0.5265217578563349
LTP436,6,0.5331009900827208
LTP436,7,0.5159452893359778
LTP436,8,0.5035771900811109
